s,betax,alphax,psix,etax,etaxp,xAperture,betay,alphay,psiy,etay,etayp,yAperture,pCentral0,ElementName,ElementOccurence,ElementType,ChamberShape
6.2340999999999216e+00,4.0078729514582427e+01,-6.9515979409371580e+00,4.6309458007345077e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1060931263286309e+02,2.8229207968808691e+02,3.2795072940225940e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    69,      QUAD,               ?
6.2352999999999215e+00,4.0093728442301057e+01,-5.5473331988353713e+00,4.6309757359925046e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0993748385706459e+02,2.7757308509403941e+02,3.2795181761936472e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    70,      QUAD,               ?
6.2364999999999213e+00,4.0105355967084428e+01,-4.1421348964654507e+00,4.6310056613116535e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0927692445337104e+02,2.7290080456292225e+02,3.2795291245055940e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    71,      QUAD,               ?
6.2376999999999212e+00,4.0113610132137310e+01,-2.7362395145392835e+00,4.6310355792138722e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0862752325317419e+02,2.6827445177495707e+02,3.2795401386336338e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    72,      QUAD,               ?
6.2388999999999211e+00,4.0118489548366917e+01,-1.3298836510802221e+00,4.6310654922185819e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0798917096573167e+02,2.6369324813975862e+02,3.2795512182379061e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    73,      QUAD,               ?
6.2400999999999209e+00,4.0119993394616678e+01,7.6696018393980103e-02,4.6310954028435534e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0736176015977394e+02,2.5915642266530205e+02,3.2795623629634134e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    74,      QUAD,               ?
6.2412999999999208e+00,4.0118121417804417e+01,1.4832627807012733e+00,4.6311253136057573e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0674518524542412e+02,2.5466321182816918e+02,3.2795735724399506e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    75,      QUAD,               ?
6.2424999999999207e+00,4.0112873932964973e+01,2.8895799248317533e+00,4.6311552270222096e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0613934245642788e+02,2.5021285944505166e+02,3.2795848462820385e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    76,      QUAD,               ?
6.2436999999999205e+00,4.0104251823197153e+01,4.2954107817837404e+00,4.6311851456108206e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0554412983269003e+02,2.4580461654548927e+02,3.2795961840888639e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    77,      QUAD,               ?
6.2448999999999204e+00,4.0092256539515127e+01,5.7005187643927853e+00,4.6312150718912415e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.0495944720311527e+02,2.4143774124582222e+02,3.2796075854442277e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    78,      QUAD,               ?
